yr,inbtou_volume,inbtou_volume_ov,inbtou_volume_sd,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,1890000,290000,1600000,531600000,0,0,0
2011,1710000,310000,1400000,565600000,0,0,0
2012,1830000,320000,1510000,641500000,0,0,0
2013,1730000,350000,1380000,670800000,0,0,0
2014,1990000,380000,1610000,706800000,0,0,0
2015,2110000,390000,1720000,726800000,0,0,0
2016,2100000,390000,1710000,737000000,0,0,0
2017,2150000,420000,1730000,789600000,0,0,0
2018,2380000,460000,1920000,849400000,0,0,0
2019,2330000,500000,1830000,876300000,0,0,0
2020,660000,120000,540000,NA,338,2,0.005917159763313609
