yr,inbtou_volume,inbtou_volume_air,inbtou_volume_cruise,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,4470000,4120000,350000,4540000000,0,0,0
2011,4660000,4310000,350000,4570000000,0,0,0
2012,4900000,4560000,340000,4770000000,0,0,0
2013,5110000,4690000,420000,5260000000,0,0,0
2014,5580000,5140000,440000,5820000000,0,0,0
2015,6130000,5600000,530000,6400000000,0,0,0
2016,6770000,5960000,810000,7050000000,0,0,0
2017,7300000,6190000,1110000,7460000000,0,0,0
2018,7550000,6570000,980000,7860000000,0,0,0
2019,7550000,6450000,1100000,7970000000,0,0,0
2020,2750000,2410000,340000,2970000000,170785,2414,0.014134730801885412
2021,5320000,4990000,330000,5190000000,247993,1833,0.007391337658724238
2022,NA,NA,NA,NA,236762,137,0.0005786401534029954
