mo,inbtou_volume_ov,covid19_cases,covid19_deaths,covid19_mortality
2019/01/01,216500,0,0,0
2019/02/01,220000,0,0,0
2019/03/01,271700,0,0,0
2019/04/01,232800,0,0,0
2019/05/01,210700,0,0,0
2019/06/01,238900,0,0,0
2019/07/01,270500,0,0,0
2019/08/01,214800,0,0,0
2019/09/01,144600,0,0,0
2019/10/01,176500,0,0,0
2019/11/01,202800,0,0,0
2019/12/01,281100,0,0,0
2020/01/01,227200,0,0,0
2020/02/01,235700,0,0,0
2020/03/01,111200,36,1,0.027777777777777776
2020/04/01,0,386,7,0.018134715025906734
2020/05/01,0,164,1,0.006097560975609756
2020/06/01,7200,116,1,0.008620689655172414
2020/07/01,41900,176,0,0
2020/08/01,43800,1581,11,0.006957621758380772
2020/09/01,28600,4023,86,0.021377081779766344
2020/10/01,45100,2612,99,0.03790199081163859
2020/11/01,49400,1669,51,0.03055721989215099
2020/12/01,90200,2064,45,0.02180232558139535
