yr,inbtou_volume,inbtou_spending,covid19_cases,covid19_deaths,covid19_mortality
2010,1026339.9999999999,564912300,0,0,0
2011,994960,585236400,0,0,0
2012,931220,592788100,0,0,0
2013,960620,654234000,0,0,0
2014,1034069.9999999999,730794400,0,0,0
2015,1088180,767409600,0,0,0
2016,1004040,733180900,0,0,0
2017,1114760,836577400,0,0,0
2018,1228720,899643900,0,0,0
2019,1286000,997575500,0,0,0
2020,455410,317556200,353,5,0.014164305949008499
2021,301680,775623600.0000001,13217,290,0.02194143905576152
2022,NA,NA,16171,114,0.00704965679302455
